agglomeration,Data_year,nombre_pieces_homogene,average_loyer_m2,average_surface,total_nombre_logements,total_nombre_observations
Agglomération de Teste-de-Buch-Arcachon,2016,Maison 1-3P,10.540000000000001,65.0,3266.0,692.0
Agglomération de Teste-de-Buch-Arcachon,2016,Ensemble 4P et plus,9.216666666666667,98.33333333333333,2487.0,1029.0
Agglomération de Teste-de-Buch-Arcachon,2016,Maison 4P et plus,9.285714285714286,99.42857142857143,4158.0,1060.0
Agglomération de Teste-de-Buch-Arcachon,2016,Appart 1P,13.6,30.0,536.0,296.0
Agglomération de Teste-de-Buch-Arcachon,2016,Appart 2P,11.75,43.666666666666664,2876.0,1508.0
Agglomération de Teste-de-Buch-Arcachon,2016,Appart 3P,10.3,65.0,2466.0,1064.0
Agglomération de Teste-de-Buch-Arcachon,2016,Appart 4P et plus,9.0,88.66666666666667,816.0,312.0
Agglomération de Teste-de-Buch-Arcachon,2016,Ensemble 1P,13.6,30.0,292.0,222.0
Agglomération de Teste-de-Buch-Arcachon,2016,Ensemble 2P,11.7,44.6,1835.0,1218.0
Agglomération de Teste-de-Buch-Arcachon,2016,Ensemble 3P,10.42,66.4,2445.0,1230.0
Agglomération de Montpellier,2016,Maison 1-3P,11.2,63.0,11666.0,1560.0
Agglomération de Montpellier,2016,Ensemble 4P et plus,9.4375,95.875,29484.0,9750.0
Agglomération de Montpellier,2016,Maison 4P et plus,9.6875,106.0,25460.0,4992.0
Agglomération de Montpellier,2016,Appart 1P,15.655555555555557,26.666666666666668,68666.0,26096.0
Agglomération de Montpellier,2016,Appart 2P,12.488888888888889,43.666666666666664,96880.0,42968.0
Agglomération de Montpellier,2016,Appart 3P,10.477777777777778,66.33333333333333,63856.0,24168.0
Agglomération de Montpellier,2016,Appart 4P et plus,9.255555555555555,88.77777777777777,33506.0,8008.0
Agglomération de Montpellier,2016,Ensemble 1P,15.6375,26.875,34690.0,19614.0
Agglomération de Montpellier,2016,Ensemble 2P,12.5,43.75,49718.0,32370.0
Agglomération de Montpellier,2016,Ensemble 3P,10.6,67.25,36126.0,19110.0
Agglomération de Sète,2016,Maison 1-3P,9.6,67.0,2580.0,452.0
Agglomération de Sète,2016,Ensemble 4P et plus,8.8375,94.125,3379.0,1191.0
Agglomération de Sète,2016,Maison 4P et plus,9.466666666666667,96.33333333333333,3452.0,760.0
Agglomération de Sète,2016,Appart 1P,11.38,31.4,1798.0,560.0
Agglomération de Sète,2016,Appart 2P,10.488888888888889,44.333333333333336,8454.0,3496.0
Agglomération de Sète,2016,Appart 3P,9.233333333333333,65.77777777777777,7642.0,2652.0
Agglomération de Sète,2016,Appart 4P et plus,8.36,88.6,3306.0,828.0
Agglomération de Sète,2016,Ensemble 1P,11.4,31.5,932.0,420.0
Agglomération de Sète,2016,Ensemble 2P,10.475,45.0,4591.0,2697.0
Agglomération de Sète,2016,Ensemble 3P,9.2875,66.875,4713.0,2253.0
Agglomération de Rennes,2016,Maison 1-3P,10.314285714285715,53.714285714285715,6352.0,1472.0
Agglomération de Rennes,2016,Ensemble 4P et plus,8.547619047619047,99.19047619047619,25756.0,11406.0
Agglomération de Rennes,2016,Maison 4P et plus,8.5375,115.875,22772.0,5488.0
Agglomération de Rennes,2016,Appart 1P,14.241666666666667,25.875,49960.0,16752.0
